,S1prime_norm,S2prime_norm,S3prime_norm,C1_norm,C3_norm,C4,C5_norm,C6_norm,C7_norm,C5prime_norm,T1prime,T2prime_norm,T3prime_norm,T4prime_norm,T5prime_norm,Y1,Y2
0,-5.323717832406393,-4.688678282653728,-4.516378284320793,4.804021044733257,0.9997161301684341,0.029074273483673547,0.05705106479923181,0.06181858700993144,3.9578564217713184,1.3517920760146351,0.6404255319148936,0.23291532349854957,-10.466154655164026,0.44562242995522855,0.23291532349854957,0,1
1,-5.726618331907924,-4.500360482792552,-4.5212380678141075,5.556828061699537,-0.551128028538147,-0.013351642245815755,0.05821302645278935,0.06806898164499402,3.2934636818587735,2.4873064069549757,0.6447534766118836,0.22670466987281912,-9.365140598071356,0.4388872420492824,0.22670466987281912,1,0
2,-4.457392597426927,-5.071758900133758,-4.473921899378137,4.499809670330265,-0.23549574953849794,0.02071500183158597,0.060097583729036015,0.06483003829277449,2.1256092225248433,1.2146556193223292,0.6368159203980099,0.24852281180881095,-10.523528969226478,0.45127464413945856,0.24852281180881095,1,0
3,-4.637032159136836,-4.941521349904997,-4.3185784280183,5.342334251964811,0.08975778474716008,0.020023137256796594,0.06055681274327241,0.0652759070906053,2.2540249023786685,1.193830679748194,0.5396341463414634,0.2482533731016085,-11.549720025769904,0.6168638758103147,0.2482533731016085,1,0
4,-5.399714815741012,-4.6004611291865185,-4.486413622715222,4.382026634673881,0.7894612209549805,-0.034894701316965815,0.05800083493258567,0.06279149476507455,6.4509410854564475,1.3154073592376931,0.5874125874125874,0.22034118091743926,-8.456290383522076,0.5320278314165936,0.22034118091743926,0,1
5,-5.670937094734388,-5.2337232883116425,-4.599574448513653,4.543294782270004,0.7856638590269437,-0.057556076660705446,0.05693876358900696,0.06321915341703181,5.291247433363672,1.7447366879143171,0.6431372549019608,0.21279166654178572,-3.9064895137478914,0.44139711733422776,0.21279166654178572,0,0
6,-5.258384204541381,-5.001664357693566,-4.7598286733672035,4.852030263919617,-0.7013741309383126,0.004105524336536758,0.059657252421882356,0.06443191589380759,1.8158014637082929,1.242162671654869,0.7656565656565657,0.21046368164009613,-8.220058602701815,0.26702155748626405,0.21046368164009613,1,0
7,-5.3186546102696735,-4.538496052720099,-4.521966750768888,4.51085950651685,0.25429553262639115,0.040619988496656566,0.05959714815243937,0.06291305527258495,0.2814124594381855,0.8843742775538389,0.8263473053892215,,-9.085701725693314,0.19074012725955045,,1,0
8,-5.542817442035632,-4.782978886977015,-4.147939337224351,4.605170185988092,0.4542164326822591,-0.02931592628539684,0.05622566475051915,0.06167735579051758,5.6369301676683605,1.5720664164243778,0.5403225806451613,0.2488073217827666,-10.464630471676578,0.6155889462140708,0.2488073217827666,1,0
9,-4.725309839072506,-4.619949323414679,-4.129326406966208,4.663439094112067,0.9863457351557237,-0.02492507736968316,0.05770103488070734,0.06167735579051758,6.204573924054254,1.1173058638789977,0.5142857142857142,0.22416914693482312,-8.383928331659776,0.664976303593249,0.22416914693482312,1,0
